sep=,
DeviceTag:,15,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities,,,,,,,,,,,,,,,,,
StartTime:,2023-07-20 16:10:25.154 +0900,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
1, 673445467, 7.8471598625183105, -5.9513444900512695, -1.494242787361145, 0.19874173402786255, -0.05324239656329155, 0.3928219676017761
2, 673462134, 7.814263820648193, -5.930259704589844, -1.4845585823059082, 0.3470456600189209, 0.050822000950574875, 0.3461620509624481
3, 673478801, 7.808859825134277, -5.938199043273926, -1.5034375190734863, 0.014285482466220856, -0.007120330352336168, 0.2696568965911865
4, 673495468, 7.826486587524414, -5.9620561599731445, -1.4666597843170166, -0.031401168555021286, -0.09137330204248428, 0.27183398604393005
5, 673512135, 7.829644680023193, -5.987082481384277, -1.4774314165115356, -0.19046883285045624, 0.022904153913259506, 0.2750355303287506
6, 673528802, 7.804006576538086, -5.967144966125488, -1.4913749694824219, -0.014637659303843975, 0.016654659062623978, 0.36925190687179565
7, 673545469, 7.785321235656738, -5.95035457611084, -1.483435869216919, 0.46585017442703247, -0.03899533301591873, 0.40238186717033386
8, 673562136, 7.8048505783081055, -5.963239669799805, -1.4636915922164917, 0.030459903180599213, 0.04895227029919624, 0.2793384790420532
9, 673578803, 7.831014156341553, -5.9409637451171875, -1.4906275272369385, -0.16928713023662567, 0.0745009332895279, 0.349197119474411
10, 673595470, 7.843731880187988, -5.940415859222412, -1.4945470094680786, 0.35649675130844116, -0.005698824767023325, 0.3322286903858185
11, 673612137, 7.855615139007568, -5.9388251304626465, -1.4776102304458618, 0.17846286296844482, 0.11841389536857605, 0.3529621958732605
12, 673628804, 7.854531288146973, -5.961551666259766, -1.4685587882995605, -0.22706937789916992, 0.06565175205469131, 0.3229825496673584
13, 673645471, 7.815772533416748, -5.9595417976379395, -1.4848519563674927, 0.17933371663093567, 0.03170211613178253, 0.4163920283317566
14, 673662138, 7.811777591705322, -5.9627532958984375, -1.4868475198745728, 0.16596387326717377, -0.008452191017568111, 0.5377834439277649
15, 673678805, 7.80382776260376, -5.955601215362549, -1.4862323999404907, -0.023141076788306236, 0.08632120490074158, 0.4153291881084442
16, 673695472, 7.817785739898682, -5.955597400665283, -1.488700032234192, 0.016129596158862114, -0.004648704547435045, 0.4248698353767395
17, 673712139, 7.818376064300537, -5.948513031005859, -1.4817085266113281, 0.45756447315216064, -0.011128717102110386, 0.45532336831092834
18, 673728806, 7.820128440856934, -5.957045078277588, -1.4682221412658691, 0.47580069303512573, 0.04110197722911835, 0.3645135164260864
19, 673745473, 7.8337178230285645, -5.933825492858887, -1.4631551504135132, -0.0599721297621727, 0.05302468314766884, 0.3961836099624634
20, 673762140, 7.838130950927734, -5.9556403160095215, -1.481522560119629, -0.1560453623533249, 0.027604082599282265, 0.3017239570617676
21, 673778807, 7.819313049316406, -5.942694664001465, -1.4832749366760254, 0.31641289591789246, 0.08395202457904816, 0.42308974266052246
22, 673795474, 7.815032005310059, -5.965045928955078, -1.453102469444275, 0.24317339062690735, -0.006275111343711615, 0.44094187021255493
23, 673812141, 7.8169169425964355, -5.9690046310424805, -1.4812185764312744, -0.1437128633260727, 0.02668202854692936, 0.3787798285484314
24, 673828808, 7.80939245223999, -5.94499397277832, -1.4786293506622314, 0.19121798872947693, -0.01260144729167223, 0.29781803488731384
25, 673845475, 7.830023765563965, -5.950644493103027, -1.4801313877105713, 0.3582512438297272, -0.015354812145233154, 0.35046496987342834
26, 673862142, 7.8232574462890625, -5.950994968414307, -1.475664734840393, -0.242462620139122, 0.04021833837032318, 0.2977539896965027
27, 673878809, 7.8348798751831055, -5.948005199432373, -1.5030763149261475, 0.02243032306432724, -0.07714544981718063, 0.30967676639556885
28, 673895476, 7.841142177581787, -5.949524879455566, -1.4653831720352173, 0.38158437609672546, -5.634793778881431E-4, 0.32690125703811646
29, 673912143, 7.824098110198975, -5.932284355163574, -1.468076229095459, 0.11049958318471909, -0.08580253273248672, 0.3146840035915375
